Name,Amount,Category,Created
Auction + Transport,15393,Buying (https://www.notion.so/Buying-916c27731a6746799b4a49262a77c5df?pvs=21),"May 9, 2024 1:50 PM"
Customs VAT + Taxes,2493,Buying (https://www.notion.so/Buying-916c27731a6746799b4a49262a77c5df?pvs=21),"June 10, 2024 11:23 AM"
Sofia→Varna,450,Buying (https://www.notion.so/Buying-916c27731a6746799b4a49262a77c5df?pvs=21),"June 25, 2024 10:49 AM"
NL→Sofia,0,Buying (https://www.notion.so/Buying-916c27731a6746799b4a49262a77c5df?pvs=21),"June 25, 2024 10:49 AM"
North Auto Commission,0,Buying (https://www.notion.so/Buying-916c27731a6746799b4a49262a77c5df?pvs=21),"June 25, 2024 10:50 AM"
Fog Lamp Trims,130,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"July 1, 2024 12:23 PM"
Headlight base,100,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"July 3, 2024 9:36 PM"
Fender Holder,40,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"July 3, 2024 9:36 PM"
Headlight support,0,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"July 3, 2024 9:37 PM"
Right Fender,300,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"July 4, 2024 3:03 PM"
Air Duct,40,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"July 8, 2024 4:09 PM"
Impact Bar Holder,22,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"July 8, 2024 4:10 PM"
Impact Bar Cover,46,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"July 8, 2024 4:11 PM"
Front Grille,120,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"July 9, 2024 10:18 AM"
Bumper repair,50,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"July 16, 2024 11:35 AM"
Front Grille Painting,45,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"July 16, 2024 11:36 AM"
Temporal Plates,250,Buying (https://www.notion.so/Buying-916c27731a6746799b4a49262a77c5df?pvs=21),"July 30, 2024 1:55 PM"
"Underbody ",27,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"July 30, 2024 1:55 PM"
Keyless Door Sensor,18,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"July 30, 2024 10:37 PM"
Summer Tyres,1000,Service (https://www.notion.so/Service-ce149cc324ee4b04adb24d458ae0115b?pvs=21),"July 31, 2024 10:38 PM"
Techno Test,550,Buying (https://www.notion.so/Buying-916c27731a6746799b4a49262a77c5df?pvs=21),"August 2, 2024 11:27 AM"
Rear Shock Absorbers,355,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"August 2, 2024 11:28 AM"
Small Parts,8,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"August 13, 2024 12:08 PM"
Registration,450,Buying (https://www.notion.so/Buying-916c27731a6746799b4a49262a77c5df?pvs=21),"September 12, 2024 3:10 PM"
Painting,1150,Repair (https://www.notion.so/Repair-d663dcc9f4c549a5b407fcc9c6448c5a?pvs=21),"September 12, 2024 3:10 PM"
Front Wheel Bearing,130,Service (https://www.notion.so/Service-ce149cc324ee4b04adb24d458ae0115b?pvs=21),"November 7, 2024 10:43 AM"
Differential Oil,20,Service (https://www.notion.so/Service-ce149cc324ee4b04adb24d458ae0115b?pvs=21),"November 7, 2024 10:45 AM"
Bushes,120,Service (https://www.notion.so/Service-ce149cc324ee4b04adb24d458ae0115b?pvs=21),"November 7, 2024 10:45 AM"
Bushes+Work,150,Service (https://www.notion.so/Service-ce149cc324ee4b04adb24d458ae0115b?pvs=21),"December 4, 2024 8:35 AM"
Wheel Aligment,80,Service (https://www.notion.so/Service-ce149cc324ee4b04adb24d458ae0115b?pvs=21),"December 5, 2024 9:30 PM"
Auto Headlights,240,Tunning (https://www.notion.so/Tunning-bb2522cb59b44c9abcdff5c93d016925?pvs=21),"March 4, 2025 6:59 PM"
Tow Hitch,1000,Tunning (https://www.notion.so/Tunning-bb2522cb59b44c9abcdff5c93d016925?pvs=21),"March 4, 2025 7:01 PM"
Suspension front + temp sensor,780,Service (https://www.notion.so/Service-ce149cc324ee4b04adb24d458ae0115b?pvs=21),"July 2, 2025 3:20 PM"
Oil Change,180,Service (https://www.notion.so/Service-ce149cc324ee4b04adb24d458ae0115b?pvs=21),"October 29, 2025 1:47 PM"
Winter Tyres,850,Service (https://www.notion.so/Service-ce149cc324ee4b04adb24d458ae0115b?pvs=21),"November 5, 2025 4:58 PM"
