Name,Amount,Category,Created
Bid + Transport + CA Taxes 33259 CAD,40680,Buying (https://www.notion.so/Buying-23a2299f06b38139ab51f45e8c14924d?pvs=21),"July 24, 2025 11:25 AM"
Import Taxes - 932 EUR,1820,Buying (https://www.notion.so/Buying-23a2299f06b38139ab51f45e8c14924d?pvs=21),"July 24, 2025 11:26 AM"
Revolut Tax,160,Buying (https://www.notion.so/Buying-23a2299f06b38139ab51f45e8c14924d?pvs=21),"July 24, 2025 5:37 PM"
Right Wheel,690,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"July 28, 2025 10:40 AM"
Shipping wheel,100,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"July 30, 2025 2:20 PM"
EU Transport,2652,Buying (https://www.notion.so/Buying-23a2299f06b38139ab51f45e8c14924d?pvs=21),"September 18, 2025 1:57 PM"
Sofia → Varna,350,Buying (https://www.notion.so/Buying-23a2299f06b38139ab51f45e8c14924d?pvs=21),"September 18, 2025 1:58 PM"
Right Wish Bone + bolt,170,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"October 30, 2025 4:29 PM"
Buy comission,1000,Buying (https://www.notion.so/Buying-23a2299f06b38139ab51f45e8c14924d?pvs=21),"November 1, 2025 11:39 AM"
Front bumper,1259,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"November 19, 2025 3:56 PM"
Front Bumper Reinforcement,742,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"November 19, 2025 3:57 PM"
Front Mask,660,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"November 20, 2025 2:26 PM"
Front Belt,705,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"November 20, 2025 2:27 PM"
Right Fender Trim,160,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"November 20, 2025 2:29 PM"
Intercooler Pipe,305,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"December 2, 2025 11:14 AM"
2x Headlight Trim,172,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"December 2, 2025 11:18 AM"
Hood Puller,11,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"December 2, 2025 11:19 AM"
2x Front Holders,53,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"December 2, 2025 11:20 AM"
Front suspension bolt,21,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"December 2, 2025 11:20 AM"
2x Front bumpers slider,65,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"December 2, 2025 11:21 AM"
Radiator wind deflector,83,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"December 2, 2025 11:22 AM"
Hood puller rope,41,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"December 2, 2025 11:22 AM"
Front bumper trim,185,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"December 2, 2025 11:23 AM"
Radiator Wind deflector,63,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"December 2, 2025 11:23 AM"
Trunk Cover,230,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"December 17, 2025 9:57 AM"
Headlight Washer Cover,120,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"January 9, 2026 1:25 PM"
Headlight Holder,50,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"January 9, 2026 1:26 PM"
Nuts and Bolts,30,Repair (https://www.notion.so/Repair-23a2299f06b3817dbeddf5a5385b226a?pvs=21),"January 9, 2026 1:26 PM"
