Name,Amount,Category,Created
Bought,6000,Buying (https://www.notion.so/Buying-d48f5261c2874d5a83cc3694aab8c720?pvs=21),"March 9, 2024 9:55 PM"
Notarius,160,Buying (https://www.notion.so/Buying-d48f5261c2874d5a83cc3694aab8c720?pvs=21),"March 9, 2024 9:55 PM"
GO,180,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"March 9, 2024 9:55 PM"
Pregled,50,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"March 9, 2024 9:55 PM"
Vinetka,87,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"March 9, 2024 9:55 PM"
KAT,35,Buying (https://www.notion.so/Buying-d48f5261c2874d5a83cc3694aab8c720?pvs=21),"March 9, 2024 9:56 PM"
Okachvane,150,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"March 12, 2024 9:14 PM"
Underbody Protection,300,Tunning (https://www.notion.so/Tunning-147904a15589419db5fc5fffe171db35?pvs=21),"March 27, 2024 10:47 AM"
"Offroad Tyres ",1370,Tunning (https://www.notion.so/Tunning-147904a15589419db5fc5fffe171db35?pvs=21),"March 30, 2024 4:44 PM"
OEM Body Protection,-120,Tunning (https://www.notion.so/Tunning-147904a15589419db5fc5fffe171db35?pvs=21),"April 9, 2024 11:16 AM"
Wipers,30,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"April 9, 2024 11:17 AM"
trunk springs,100,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"April 9, 2024 11:18 AM"
floor mats,50,Tunning (https://www.notion.so/Tunning-147904a15589419db5fc5fffe171db35?pvs=21),"May 20, 2024 1:25 PM"
Compressor,67,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"June 9, 2024 10:54 PM"
Seats,150,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"June 19, 2024 11:47 PM"
Turn Signal,35,Tunning (https://www.notion.so/Tunning-147904a15589419db5fc5fffe171db35?pvs=21),"June 25, 2024 1:48 PM"
AC Fix,100,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"June 25, 2024 1:49 PM"
Tow Hitch Head,50,Tunning (https://www.notion.so/Tunning-147904a15589419db5fc5fffe171db35?pvs=21),"June 26, 2024 12:00 PM"
Injector Check,180,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"July 5, 2024 11:19 AM"
Engine Oil,96,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"July 16, 2024 11:37 AM"
Filters,80,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"July 16, 2024 11:37 AM"
Tow Hitch,300,Tunning (https://www.notion.so/Tunning-147904a15589419db5fc5fffe171db35?pvs=21),"September 16, 2024 11:27 AM"
Battery,150,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"December 30, 2024 3:37 PM"
Rear Brake Pads,56,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"December 30, 2024 3:38 PM"
Offroad Damage,63,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"January 6, 2025 11:47 AM"
Front Small Arm Bushes,44,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"January 9, 2025 10:46 AM"
Tax 2024-25,490,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"January 16, 2025 10:20 AM"
Suspension Labor,100,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"January 16, 2025 10:21 AM"
Remap,500,Tunning (https://www.notion.so/Tunning-147904a15589419db5fc5fffe171db35?pvs=21),"February 19, 2025 10:54 AM"
Spacers,200,Tunning (https://www.notion.so/Tunning-147904a15589419db5fc5fffe171db35?pvs=21),"February 19, 2025 10:54 AM"
Labor spacers,120,Tunning (https://www.notion.so/Tunning-147904a15589419db5fc5fffe171db35?pvs=21),"March 4, 2025 7:04 PM"
GO,180,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"March 4, 2025 7:05 PM"
Exhaust mode,110,Tunning (https://www.notion.so/Tunning-147904a15589419db5fc5fffe171db35?pvs=21),"March 26, 2025 1:03 PM"
Injectors,850,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"April 25, 2025 8:55 AM"
Strut Extenders,500,Tunning (https://www.notion.so/Tunning-147904a15589419db5fc5fffe171db35?pvs=21),"August 27, 2025 11:20 AM"
Exchange Air Pump,-300,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"November 17, 2025 3:47 PM"
Oil Cooler,200,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"January 7, 2026 10:40 AM"
Compressor parts,65,Service (https://www.notion.so/Service-1d4e451ee90446aca16c6c6b1473515f?pvs=21),"January 7, 2026 10:41 AM"
