Name,Amount,Category,Created
Auction Transfer 1,6355,Buying (https://www.notion.so/Buying-04373357769644a5b2d4df8328c93e98?pvs=21),"February 27, 2024 10:06 PM"
Auction Transfer 2,10763,Buying (https://www.notion.so/Buying-04373357769644a5b2d4df8328c93e98?pvs=21),"February 27, 2024 10:06 PM"
Bank Fees,130,Buying (https://www.notion.so/Buying-04373357769644a5b2d4df8328c93e98?pvs=21),"February 27, 2024 10:06 PM"
Import Taxes,3400,Buying (https://www.notion.so/Buying-04373357769644a5b2d4df8328c93e98?pvs=21),"February 27, 2024 10:07 PM"
Driver Airbag,275,Buying (https://www.notion.so/Buying-04373357769644a5b2d4df8328c93e98?pvs=21),"February 27, 2024 10:07 PM"
Mirror Covers,110,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:07 PM"
Unload Taxes,724,Buying (https://www.notion.so/Buying-04373357769644a5b2d4df8328c93e98?pvs=21),"February 27, 2024 10:07 PM"
Toll,70,Buying (https://www.notion.so/Buying-04373357769644a5b2d4df8328c93e98?pvs=21),"February 27, 2024 10:07 PM"
Fender Badge,45,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:07 PM"
Washer Tank,5,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:08 PM"
Right Bumper Holder,40,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:08 PM"
Hood Holder,50,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:08 PM"
Central Bumper Holder,100,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:08 PM"
Small Window,55,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:08 PM"
Water Tank,25,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:08 PM"
Front Trim,250,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:08 PM"
Roof Handle,40,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:08 PM"
Headlight Mount,35,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:11 PM"
Distronic plug,15,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:11 PM"
AC Pipes Holder,22,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:11 PM"
Hood Spring,18,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:11 PM"
Front Mask,90,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:11 PM"
Right Roof Part,150,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:12 PM"
Fender Mount,35,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:12 PM"
Fender,136,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:12 PM"
Left Head Airbag,170,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:12 PM"
Right Headligh,800,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:12 PM"
Right Mirror,240,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:12 PM"
Front Windshield,430,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:15 PM"
Headligh Module,35,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:15 PM"
Bumper Repair,60,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:15 PM"
Right Tail Light,57,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:15 PM"
Window Holder,5,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:15 PM"
Right Fender Trim,113,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:15 PM"
Hood,240,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:15 PM"
